content#,#sentiment#,#positive#,#negative#,#label
高雄市議會議長許崑源，在6月6日不幸身亡，今(27日)舉辦公祭告別式，國民黨重量級人士包括前總統馬英九、黨主席江啟臣、歷任黨主席、前立法院長王金平紛紛到場致意，高雄市前市長韓國瑜，也率領前市府團隊到場，韓國瑜與王金平互動自然成為焦點，在告別的座位安排，也將兩人安排在一起比鄰而坐，兩人互動也跟著曝光。韓國瑜比王金平早一步抵達許崑源告別式場，晚一步抵達的王金平在副議長陸淑美的陪同下步入會場，當時的韓國瑜與前副市長葉匡時坐在一起，王金平一看到韓國瑜主動趨前伸手，韓國瑜先雙手合十的打招呼，接著雙手迎向前與王金平握手，簡短握手後，王金平要往旁邊移動，這時陸淑美趕緊過來招呼，要王坐在韓的旁邊，韓國瑜也示意引導，王入座後便與韓交談，韓將手輕拍王的大腿，這也是兩人近來難得出現在媒體前同框的畫面。而王金平與韓國瑜雖然同坐一起，但互動並不熱烈，雖偶有交談，但沒甚麼交集，反倒是王金平會與坐在他右邊的國民黨前主席吳伯雄交談，韓國瑜則偶而回頭與坐在他左後方的妻子李佳芬談話。王金平在2018年高雄市長選舉中曾經擔任韓國瑜最重要的推手，出錢出力替的輔選，2020總統大選，若王金平沒有退選，兩人就成國民黨內初選對手，因此，兩人任何互動格外令人關注；在韓國瑜面臨罷免時，也曾傳出王金平有意幫忙，卻遲遲未有表態。韓國瑜罷免案6日通過，93萬高雄人投下罷免同意票，韓國瑜下台。而面對即將進行的高市長補選？王金平受訪時表示，會盡量找機會。至於李眉蓁這個人選如何，王金平一連說了兩次「當然很好！」，並強調她是很適合的人選。談到李眉蓁優勢，是否是年輕？王金平笑了笑說，哪有什麼年輕不年輕，現在不是都強調年輕嗎？至於是否會幫李眉蓁輔選，王金平想了約2秒後說「身為黨員應該會吧！」#,#0.13815930368082507#,#1#,#5#,#負面
高雄市前議長許崑源27日上午出殯，政商界群聚高市殯儀館景行廳為其送行，國民黨主席江啟臣率眾替許崑源骨灰覆上黨旗；與許崑源感情深厚的韓國瑜也出席告別式，他神情哀悽甚至落淚，但仍強忍悲痛上台闡述許崑源一生貢獻及故事 韓國瑜表示，人稱「奧援」的議長，長得一臉娃娃臉，講話害羞、每次說話時還會笑一笑，露出酒窩；一個全台知名、最重義氣的議長，竟然這良善，外型又這麼俊俏，讓他非常驚訝。 而有次韓國瑜與許議長吃飯時，晚上九點到九點半，兩人坐在餐廳整整三十分鐘，卻不見路上有任何一輛車經過，這讓許崑源相當唏噓，直說「我們的高雄怎麼會變成這樣！」顯示出他對高雄的關心，令人感動。 韓國瑜提到，更有次一位原住民議員向許崑源議長致謝，表示兩年前颱風暴雨，山區原民損失慘重，議長要這位議員到百貨商場，看族人需要甚麼、就拿甚麼，儘量拿，許崑源表示他會去結帳；這位原民議員感激涕零，韓國瑜也不禁紅了眼眶。#,#0.9486770333455596#,#5#,#2#,#正面
高雄市前議長許崑源的告別式今（27）日上午舉行，黨政商界群聚高市殯儀館景行廳為其送行，前高雄市長韓國瑜率前市府團隊到場，國民黨主席江啟臣則率眾替許崑源骨灰覆上黨旗，並頒發獎章證書表彰他的貢獻；韓國瑜在致詞時，介紹了好友許崑源的生平，讚他對高雄的貢獻，無愧於生養之地。許崑源遺孀林絲娛也表示未來將成立「許崑源安心基金會」關懷弱勢。▲國民黨主席江啟臣也率眾替許崑源骨灰覆上黨旗並頒發獎章證書表彰他的貢獻。（圖／高市議會提供）許崑源遺體已在24日火化，上午在高市殯儀館景行廳舉行告別式，政壇人士包括前總統馬英九、立法院前院長王金平、新國民黨主席朱立倫、洪秀柱、吳敦義都到場，台北市長柯文哲一大早也由民眾黨參選人吳益政等人陪同，到會場捻香向家屬致意，就連統促黨總裁張安樂也出席送他最後一程，韓家軍號召支持者穿白衣來給許議長送行，高雄市17個警分局分局長及偵查隊長也都到場鞠躬。韓國瑜在告別式中應邀上台，細數許崑源生前事蹟，強調許生前對朋友充滿義氣，遇到不合理的事情充滿霸氣，對於高雄未來的發展充滿正氣。韓國瑜還用「蒼天不忍，嗚呼哀哉！」形容他此刻的心情，韓國瑜說，許崑源生日是勞工節，註定他為市民勞碌的一生，生於高雄，亡於高雄，許崑源終其一生都沒有離開高雄。▲前高雄市長韓國瑜也率前市府團隊到場，在告別式中應邀上台除細數許崑源生前事蹟外，還用「蒼天不忍，嗚呼哀哉！」形容他此刻的心情。（圖／高市議會提供）江啟臣受訪時則表示，由於市長補選時間緊迫，將趁今日南下機會與國民黨候選人李眉蓁交換意見，現在是分秒必爭，李眉蓁受訪時也表示，大家今天都到高雄看議長，會抓緊時間討論組織團隊，大概下週團隊成員就會到齊立即就位打選戰。公祭典禮上許崑源遺孀林絲娛也率先捐給5個社福單位、每家10萬元，公祭結束後，靈車將送許崑源的骨灰前往佛光山安置，途中會特地遶行至市議會，議會全體員工及藍綠議員也夾道送議長最後一程。#,#0.010241998362273907#,#4#,#3#,#正面
前高雄市議長許崑源日前墜樓，今（27）日上午舉行告別式，前總統馬英九、前主席朱立倫、洪秀柱、國民黨主席江啟臣和前高雄市長韓國瑜均到現場致祭；靈堂內也湧入許多支持者，並由韓國瑜介紹許生平、江啟臣再以國民黨黨旗覆棺行禮，齊送許崑源最後一程。台北市長柯文哲率民眾黨不分區立委蔡璧如，及民眾黨籍高雄市長補選候選人吳益政上香致哀，另韓國瑜夫人李佳芬、前副市長李四川、高雄市政府團隊的首長們也到場送許崑源最後一程外，不少民眾也自發性穿白衣到場表達追悼之意；此外，許崑源靈柩將繞經高雄市議會後，安奉佛光山。#,#0.0013775013983041706#,#1#,#1#,#負面
前市長韓國瑜月初遭罷免後，任內推動的「路平、燈亮、水溝通」，讓高雄部分道路的路面品質有所改善，代理市長楊明州曾被媒體問及是否會延續韓的清淤工作，僅表示這些每一任市長市政公事。但近來有民眾就在網路上貼出施工中照片，直指前副市長李四川不在了，就沒人管施工進度。楊明州受訪曾表示，包括市區的側溝和郊區的排水道「清水溝」工作，「是歷任市長都在做的，政策延續的維護工作是最基本的」。臉書粉專「比特王」昨在臉書貼文指出，「自從換了市府團隊，高雄的道路施工品質或是速度，就恢復正常了，想要高效率、想要路平，都是遙不可及的空想」。並PO出一張高雄橋頭地區某個巷子的路面，「從端午節前些時間施工到現在，就丟在那邊擺爛到現在，代理市長說路平是基本，這就是你們基本的做事態度嗎？」，並感嘆「想念川伯了」。照片也吸引8百多位網友留言，「只是換市長跟一級主管就變這樣，也太差勁了吧」、「真是超級無奈，路又難走了」、「高雄人敢做，就甘願受」、「93萬罷韓票有多少是真正住在高雄的？高雄未來怎麼樣他們根本就無感吧！」。今日推薦影音#,#0.14383481557391686#,#1#,#5#,#負面
高雄市長補選，藍綠陣營互控對手是「代理人之爭」，前市長陳菊、韓國瑜又被推上戰場。民進黨參選人陳其邁昨指，國民黨參選人李眉蓁「把韓國瑜團隊找回來班師回朝，無疑是沒收六月六日罷免投票」；李眉蓁陣營反擊，「我們更應該擔心被民意否決、讓高雄負債累累的陳菊團隊復辟」。民進黨高雄市議員陳致中表示，李眉蓁任職高雄果菜公司總經理的父親李榮宗與韓國瑜交好，李眉蓁是血統純正的「正韓軍」；韓國瑜勢力猶存，高雄市長補選是代理人的戰爭，當選後李若請韓回來當市政顧問，豈非高雄的災難？陳其邁批藍 「沒收罷免投票」陳其邁昨受訪時呼應說，李眉蓁要把韓團隊找回來，等於韓班師回朝，無異是沒收六月六日的罷免投票；這場補選是市政新起點，不應回到六月六日之前的原點。李眉蓁轟綠 「又在亂戴帽子」李眉蓁說，網路謠傳她是韓妻李佳芬親戚、小韓粉，綠營又在玩亂戴帽子的老哏；好的市政要持續，不管是什麼團隊，只要是好團隊、好人才，她都需要。李眉蓁競選發言人呂謦煒說，一年半前，民意否決在高雄長期執政的民進黨及陳其邁，就是希望一新氣象；民進黨執政廿年遺下沉痾債務，陳菊市府團隊屢被監察院調查、彈劾，陳其邁若當選，象徵無能的民進黨團隊將復辟。柯挺吳益政 譏一淘汰一罷免台灣民眾黨主席柯文哲昨南下受訪時指出，為什麼會有高雄市長補選，「坦白講，一個是被淘汰的，一個是被罷免的」，兩黨都不是市民想要的；補選意義在於高雄市民渴望改變，過去那些也受夠了。民眾黨參選人吳益政表示，國民黨沒有培養人才、民進黨只用自己人，人才應公共化，不論是前市長謝長廷、陳菊或韓國瑜的團隊，他都會借重。相關新聞影音#,#0.8732147620978902#,#4#,#7#,#負面
端午連假第2天，高雄市長補選參選人陳其邁繼續拚選戰，上午他到大社拜票，下午則是到美濃關心產業發產，還穿上青蛙裝下水拔野蓮，過程中陳其邁差點滑跤，這也讓他直呼這工作比選舉還要辛苦。陳其邁現身美濃穿上青蛙裝大喊緊張，原來是要下水採野蓮，或許是真的太緊張了，差點滑倒，還好及時穩住，接著上工了。雖然陳其邁的動作不是熟練，但可以感受心意是到了。陳其邁這趟美濃行不只拔野蓮，還要挑戰漂漂河。陳其邁坐在大橡皮圈上，擁有潛水執照的他看來開心、愜意，但愜意只限在漂漂河上，上了岸還有高雄市長補選得衝。為了這次補選，陳其邁跑行程不只是緊緊緊，還衝衝衝，下午到美濃，上午他先衝大社拜票也去尋找人。陳其邁緊緊從背後抓著賣菜阿嬤，讓阿嬤又開心又害羞，兩人的友誼要從前年（2018年）說起。2018年陳其邁敗選後開直播秀照片尋找鐵粉，這位聽語障人阿嬤就是其中一人，這次陳其邁主動送上擁抱展現暖男一面，現場也有攤商送上鳳梨祝福。邁粉期待陳其邁回歸，不過對手國民黨的李眉蓁，卻說若當選要把韓國瑜的舊團隊找回來，陳其邁忍不住痛批。陳其邁表示，「最不希望看到的就是說，把6月6日的罷韓投票就把它沒收掉，又把舊的所謂的被罷免掉的團隊又找回來，那6月6日的投票那算什麼，所以這場選舉是一個新的選舉，是一個市政開始新的起點，而不是回到6月6日之前的原點。」高雄市長補選藍綠白各自就位，儘管選情看好，陳其邁仍然一天排滿6個行程，不敢掉以輕心。（民視新聞／綜合報導）#,#0.165304068631978#,#3#,#7#,#負面
陳其邁現身美濃穿上青蛙裝大喊緊張，原來是要下水採野蓮，或許是真的太緊張了，差點滑倒，還好及時穩住，接著上工了。雖然陳其邁的動作不是熟練，但可以感受心意是到了。陳其邁這趟美濃行不只拔野蓮，還要挑戰漂漂河。陳其邁坐在大橡皮圈上，擁有潛水執照的他看來開心、愜意，但愜意只限在漂漂河上，上了岸還有高雄市長補選得衝。為了這次補選，陳其邁跑行程不只是緊緊緊，還衝衝衝，下午到美濃，上午他先衝大社拜票也去尋找人。陳其邁緊緊從背後抓著賣菜阿嬤，讓阿嬤又開心又害羞，兩人的友誼要從前年（2018年）說起。2018年陳其邁敗選後開直播秀照片尋找鐵粉，這位聽語障人阿嬤就是其中一人，這次陳其邁主動送上擁抱展現暖男一面，現場也有攤商送上鳳梨祝福。邁粉期待陳其邁回歸，不過對手國民黨的李眉蓁，卻說若當選要把韓國瑜的舊團隊找回來，陳其邁忍不住痛批。陳其邁表示，「最不希望看到的就是說，把6月6日的罷韓投票就把它沒收掉，又把舊的所謂的被罷免掉的團隊又找回來，那6月6日的投票那算什麼，所以這場選舉是一個新的選舉，是一個市政開始新的起點，而不是回到6月6日之前的原點。」高雄市長補選藍綠白各自就位，儘管選情看好，陳其邁仍然一天排滿6個行程，不敢掉以輕心。（民視新聞／綜合報導）今日最夯新聞流量前3名冷鋒讓害蟲轉向 這一國躲過了名媛胡嘉嘉酒後暴斃 享年41歲網軍帶風向有行情 價碼全都露#,#0.13376667808115283#,#3#,#7#,#負面
前高雄市長韓國瑜6月6日遭到罷免，高雄市長補選將於8月15日投票，國民黨推派出高雄市議員李眉蓁參選，李眉蓁喊出：「希望找回過去一年半讓高雄基礎建設突飛猛進的韓國瑜專業市政團隊」，第一時間被問到是否找韓國瑜站台輔選時，也明確表示「一定會」；對此，國民黨文傳會副主委上政論節目《鄭知道了》被問及此事，第一時間的反應被主持人鄭弘儀抓包，似乎透露著「韓國瑜見不得人」。主持人鄭弘儀在節目中詢問黃子哲，支不支持韓國瑜站台？黃子哲表示，輔選有很多種樣態，站台和輔選是不同的，李眉蓁所說的是指找韓「輔選」，他說，韓國瑜剛被罷免，市民的情緒還在，轉嫁到李眉蓁身上，當然會對她不利，選票可能會流失。鄭弘儀再追問「站台不好？」，黃子哲露出尷尬的笑容表示這是選舉策略的問題，鄭弘儀再出招指出，「所以韓國瑜見不得人，輔選可以，站台不行？」，黃子哲嚇得要鄭弘儀不要把韓國瑜形容的這麼誇張，韓市長怎麼會見不得人，韓國瑜還是有支持群眾，直說是鄭弘儀過度解讀。但不管怎麼解釋，似乎就跟鄭弘儀所言「表情早露了餡」。#,#1.8191794737276723e-09#,#0#,#3#,#負面
高雄市長補選，形成藍白綠三腳督，資深媒體人陳揮文驚爆如果他有投票權，他會投票給前行政院長陳其邁。陳揮文今天在廣播節目再透露，他投給陳其邁，不代表他支持陳其邁，因陳的當選，會證明他去年講的韓國瑜選總統是對的。 陳揮文昨在政論節目中竟說高市長補選，他會投票給陳其邁。對此他在廣播節目《飛碟晚餐--陳揮文時間》補充說，因為現在中央執政是蔡總統，陳其邁若贏得高雄市長，那就是完全執政，不過國民黨高雄市議員也撼動不了什麼，雖然高市議員國民黨籍比較多，那又怎麼樣。其實沒有中央的力挺，縣市長是無力的，縣市長的權責是有限的。 陳揮文表示，他自己去年為何支持韓國瑜選總統，就是因為韓對高雄的承諾，當高雄市長是做不到的。陳其邁當市長的好處是，蔡總統會丟資源給陳其邁。你會發現陳其邁當選市長沒多久，高雄市長的五星級滿意度，會拉起來，陳其邁會是第一名或第2，也可藉此來打韓，如意算盤就是這個，這個到時再來印證。 陳揮文指出，韓國瑜去年說改變台灣，才能改變高雄。而讓陳其邁當高雄市長，他是最熟的，比那兩個市議員好，中央有蔡總統，陳其邁就沒有任何藉口，內場都是他的人，如果又當選，做得應該比韓國瑜好，因為蔡總統會丟資源給他。 陳揮文接著表示，補選他投給陳其邁，不代表他支持陳其邁，因陳其邁的當選，蔡總統的大力協助，會證明他去年講的是對的。有些人說去年韓國瑜不該選總統，乖乖當高雄市長就好，但他認為，中央是蔡總統執政，中央應不會撥資源下來，韓國瑜留在高雄能幹什麼？高市府有一半的錢都是中央撥下來的，會被捏得緊緊的，韓選總統是對的，唯一不對的就是沒有選贏。相關新聞影音#,#0.8732147620978902#,#5#,#5#,#負面
